Response in frame,Server IP,Client IP,Result Code,Content Type,Content Length,Compression,Content Compressed Size,Content Uncompressed Size,Request in Frame,Object Name
135,176.32.98.166,10.207.175.99,HTTP/1.1 200 OK (text/html)      ,text/html; charset=UTF-8\r\n  ,336890,gzip,61441,336890,4,/
145,88.221.117.200,10.207.175.99,HTTP/1.1 200 OK (text/css)      ,text/css\r\n   ,2538,gzip,2538,12210,140,/images/G/01/AUIClients/NavAuiMobileAssetsSmart-2e441164b30f19a5ca7e998e243423f2486a2b7f._V2_.css
172,54.239.22.213,10.207.175.99,HTTP/1.1 200 OK (GIF89a)      ,image/gif\r\n   ,43,none,43,43,141,/1/batch/1/OP/ATVPDKIKX0DER:190-6529896-4644741:03CDEMQYPH35FZDZ6KQJ$uedata=s:%2Fuedata%2Fnvp%2Funsticky%2F190-6529896-4644741%2FGateway%2Fntpoffrw%3Fstaticb%26id%3D03CDEMQYPH35FZDZ6KQJ%26pty%3Dgateway-phone-web%26spty%3Dsmartphone%26pti%3Dmobile:1000
174,54.240.162.96,10.207.175.99,HTTP/1.1 200 OK (PNG)      ,image/png\r\n   ,15847,none,15847,15847,147,/images/G/01/gno/sprites/global-sprite-32-v1._V332842812_.png
186,54.240.162.96,10.207.175.99,HTTP/1.1 200 OK (JPEG JFIF image)    ,image/jpeg\r\n   ,7109,none,7109,7109,148,/images/G/01/kindle/merch/2015/campaign/E/ECHO-gw-d-00price-us-1242x375._UX414_SX414_V313265211_.jpg
189,88.221.117.200,10.207.175.99,HTTP/1.1 200 OK (application/x-javascript)      ,application/x-javascript\r\n   ,362,gzip,362,603,188,/images/G/01/AUIClients/GenericObservableJS-01e038760277ea2c820d295a81fb0bf7973a9d36.min._V2_.js
206,54.240.162.96,10.207.175.99,HTTP/1.1 200 OK (GIF89a)      ,image/gif\r\n   ,9748,none,9748,9748,191,/images/G/01/amazonui/loading/loading-4x-gray._V1_.gif
230,54.192.47.84,10.207.175.99,HTTP/1.1 200 OK (JPEG JFIF image)    ,image/jpeg\r\n   ,2845,none,2845,2845,208,/images/I/41%2Bjw%2Bk87yL._SY150_.jpg
234,54.192.47.84,10.207.175.99,HTTP/1.1 200 OK (JPEG JFIF image)    ,image/jpeg\r\n   ,3059,none,3059,3059,210,/images/I/41ElUzWNYfL._SY150_.jpg
239,54.240.162.236,10.207.175.99,HTTP/1.1 200 OK (JPEG JFIF image)    ,image/jpeg\r\n   ,3150,none,3150,3150,211,/images/I/41UPG%2BL94nL._SY150_.jpg
322,88.221.117.200,10.207.175.99,HTTP/1.1 200 OK (application/x-javascript)      ,application/x-javascript\r\n   ,8456,gzip,8456,23792,213,/images/G/01/AUIClients/NavAuiMobileAssetsSmart-8bda3bf4afee7406d75c3c0446d7f228c9ff0c8c._V2_.js
336,54.240.162.96,10.207.175.99,HTTP/1.1 200 OK (PNG)      ,image/png\r\n   ,58494,none,58494,58494,209,/images/G/01/AUIClients/AmazonUIBaseCSS-sprite_2x-47934801beec8b5c0b18b3545b4a03a679294900._V2_.png
393,88.221.117.200,10.207.175.99,HTTP/1.1 200 OK (application/x-javascript)      ,application/x-javascript\r\n   ,85034,gzip,85034,271191,212,/images/G/01/AUIClients/AmazonUI-59993146b9b928d93c5e7c480600481402313089._V2_.js
402,54.192.47.84,10.207.175.99,HTTP/1.1 200 OK (JPEG JFIF image)    ,image/jpeg\r\n   ,8454,none,8454,8454,241,/images/I/51WpYDAvX0L._SY150_.jpg
410,54.240.162.236,10.207.175.99,HTTP/1.1 200 OK (JPEG JFIF image)    ,image/jpeg\r\n   ,6040,none,6040,6040,253,/images/I/51PSMWUpEPL._SY150_.jpg
416,54.192.47.84,10.207.175.99,HTTP/1.1 200 OK (JPEG JFIF image)    ,image/jpeg\r\n   ,6343,none,6343,6343,257,/images/I/516N%2BfTbMtL._SY150_.jpg
428,54.192.47.84,10.207.175.99,HTTP/1.1 200 OK (JPEG JFIF image)    ,image/jpeg\r\n   ,5274,none,5274,5274,411,/images/I/51piLLzvzZL._SY150_.jpg
433,54.192.47.84,10.207.175.99,HTTP/1.1 200 OK (JPEG JFIF image)    ,image/jpeg\r\n   ,4673,none,4673,4673,418,/images/I/41SczZ8bTHL._SY150_.jpg
440,54.192.47.84,10.207.175.99,HTTP/1.1 200 OK (JPEG JFIF image)    ,image/jpeg\r\n   ,4174,none,4174,4174,419,/images/I/41BhIPcsrpL._SY150_.jpg
449,54.240.162.96,10.207.175.99,HTTP/1.1 200 OK (JPEG JFIF image)    ,image/jpeg\r\n   ,3120,none,3120,3120,422,/images/G/01/img15/collectibles/entertainment/gateway/Darthvader_mobile_grid_438x300._UX146_SX146_V330551712_.jpg
454,54.240.162.96,10.207.175.99,HTTP/1.1 200 OK (JPEG JFIF image)    ,image/jpeg\r\n   ,1402,none,1402,1402,423,/images/G/01/kindle/merch/2015/campaign/E/D-mobile-438x300._UX146_SX146_V318376368_.jpg
464,54.240.162.96,10.207.175.99,HTTP/1.1 200 OK (JPEG JFIF image)    ,image/jpeg\r\n   ,3841,none,3841,3841,444,/images/G/01/Gateway/Carp/CM4Wallet._UX146_SX146_V320990090_.png
470,54.240.162.96,10.207.175.99,HTTP/1.1 200 OK (JPEG JFIF image)    ,image/jpeg\r\n   ,4189,none,4189,4189,456,/images/G/01/Gateway/Carp/gateway_graphics_438x300_8._UX146_SX146_V351538315_.jpg
504,54.240.162.64,10.207.175.99,HTTP/1.1 200 OK (application/octet-stream)      ,application/octet-stream\r\n   ,20473,none,20473,20473,474,/1506277001/1439860665201/27419_HouseMobile_Baby_OO_MobileWebGWDeals640x100.jpg
507,72.21.194.87,10.207.175.99,HTTP/1.1 200 OK (GIF89a)      ,image/gif\r\n   ,43,none,43,43,472,/e/loi/imp?b=IOHDvVJKcEkgjgVRMK79s7AAAAFQZws9uwEAAAGQKl3Uuw
531,88.221.117.200,10.207.175.99,HTTP/1.1 200 OK (application/x-javascript)      ,application/x-javascript\r\n   ,6705,gzip,6705,16140,513,/images/G/01/AUIClients/ClientSideMetricsAUIJavascript-dbbe193c185d9590bb058143d386eb3515a25c25.secure.variant-mobile.min._V2_.js
